location,size,total_sqft,bath,price,price_per_sqft
other,7,2800.0,7.0,250.0,8928.57142857143
other,2,1020.0,2.0,48.0,4705.882352941177
Cunningham Road,3,2880.0,3.0,501.0,17395.833333333332
Hebbal,3,1987.0,4.0,165.0,8303.975842979366
Hoodi,2,1305.0,2.0,75.0,5747.126436781609
Sarjapur,4,2100.0,3.0,125.0,5952.380952380952
Electronic City,2,1125.0,2.0,32.5,2888.8888888888887
Horamavu Banaswadi,2,1225.0,2.0,49.5,4040.816326530612
Hennur,2,1255.0,2.0,55.5,4422.310756972111
other,2,1191.0,2.0,90.0,7556.675062972292
Uttarahalli,6,3600.0,6.0,303.0,8416.666666666666
Electronic City,2,1165.0,2.0,33.64,2887.5536480686696
other,2,865.0,2.0,35.11,4058.9595375722542
Nagarbhavi,3,1850.0,2.0,88.0,4756.756756756757
Marsur,2,497.0,1.0,17.0,3420.523138832998
Hennur Road,2,1232.0,2.0,89.0,7224.025974025974
Thanisandra,3,1732.0,3.0,85.73,4949.769053117783
Yelahanka,3,1614.0,2.0,100.0,6195.786864931846
Magadi Road,2,600.0,1.0,22.0,3666.6666666666665
Thigalarapalya,3,2072.0,4.0,155.0,7480.694980694981
Electronic City,2,919.0,2.0,34.0,3699.6735582154515
other,4,2100.0,4.0,90.0,4285.714285714285
Shampura,4,672.0,3.0,54.0,8035.714285714285
other,8,800.0,6.0,110.0,13750.0
Marsur,3,1200.0,3.0,150.0,12500.0
other,4,2849.0,5.0,250.0,8775.008775008775
other,2,1000.0,2.0,42.0,4200.0
Whitefield,2,1216.0,2.0,75.0,6167.763157894737
Lingadheeranahalli,4,2245.0,4.0,154.0,6859.688195991092
Bannerghatta Road,3,1476.0,3.0,125.0,8468.834688346884
Ambedkar Nagar,3,1852.0,3.0,130.0,7019.438444924406
other,2,1225.0,2.0,47.0,3836.734693877551
Panathur,3,1597.0,3.0,67.12,4202.880400751409
Jakkur,3,2423.0,4.0,160.0,6603.38423442014
Marathahalli,2,1152.0,2.0,90.0,7812.5
Harlur,3,1762.0,3.0,133.0,7548.240635641317
Kammasandra,3,1400.0,3.0,92.0,6571.428571428572
Rachenahalli,3,1530.0,2.0,74.4,4862.745098039216
other,6,2400.0,6.0,400.0,16666.666666666668
Raja Rajeshwari Nagar,2,1185.0,2.0,40.17,3389.8734177215188
Yelahanka,3,1890.0,3.0,108.0,5714.285714285715
Varthur Road,3,1247.0,2.0,58.0,4651.162790697675
1st Block Jayanagar,8,700.0,4.0,104.0,14857.142857142857
HRBR Layout,6,1000.0,6.0,275.0,27500.0
Bellandur,2,1201.0,2.0,59.99,4995.004163197335
other,2,830.0,2.0,40.0,4819.277108433735
Electronic City Phase II,2,1165.0,2.0,30.29,2600.0
Bommanahalli,2,1100.0,1.0,55.0,5000.0
9th Phase JP Nagar,3,1890.0,2.0,93.0,4920.6349206349205
other,3,1685.0,3.0,60.0,3560.8308605341244
Sarakki Nagar,4,3131.0,4.0,349.0,11146.598530820824
Battarahalli,2,1165.0,2.0,43.0,3690.987124463519
other,2,827.0,2.0,45.0,5441.354292623942
other,3,396.0,2.0,48.0,12121.212121212122
Uttarahalli,4,1200.0,4.0,179.0,14916.666666666666
Electronics City Phase 1,1,635.0,1.0,26.0,4094.488188976378
Whitefield,4,4000.0,4.0,380.0,9500.0
other,2,1050.0,2.0,50.0,4761.9047619047615
other,5,600.0,4.0,76.0,12666.666666666666
Jakkur,3,1819.18,3.0,168.0,9234.930023417144
Kanakapura,3,1500.0,3.0,125.0,8333.333333333334
Yelenahalli,3,1500.0,2.0,57.0,3800.0
Benson Town,3,2850.0,4.0,470.0,16491.22807017544
Raja Rajeshwari Nagar,3,1751.0,3.0,72.0,4111.936036550543
other,4,4750.0,6.0,1102.0,23200.0
Bommasandra,2,1020.0,2.0,40.89,4008.823529411765
Thanisandra,2,1148.0,2.0,43.5,3789.198606271777
Talaghattapura,3,1856.0,3.0,135.0,7273.706896551724
Basavangudi,6,1754.0,6.0,650.0,37058.152793614594
other,3,4273.0,3.0,1100.0,25743.037678446057
other,2,1060.0,2.0,49.27,4648.11320754717
Haralur Road,2,1300.0,2.0,60.0,4615.384615384615
Hormavu,4,3000.0,4.0,100.0,3333.3333333333335
Bellandur,2,1325.0,2.0,65.0,4905.66037735849
other,2,1261.0,2.0,61.0,4837.430610626487
other,2,1100.0,2.0,46.0,4181.818181818182
Ramamurthy Nagar,2,700.0,2.0,33.0,4714.285714285715
7th Phase JP Nagar,3,1675.0,2.0,135.0,8059.701492537313
other,4,3400.0,4.0,190.0,5588.235294117647
Kodihalli,4,3260.0,5.0,388.0,11901.840490797545
other,2,1180.0,2.0,56.0,4745.762711864407
Uttarahalli,2,1160.0,2.0,45.0,3879.310344827586
Kasavanhalli,4,1863.0,3.0,105.0,5636.070853462158
Sahakara Nagar,3,1914.0,3.0,149.0,7784.743991640544
BTM Layout,3,1458.0,3.0,79.0,5418.38134430727
other,5,1200.0,4.0,115.0,9583.333333333334
Babusapalaya,2,1105.0,2.0,40.0,3619.9095022624433
Hulimavu,3,3035.0,5.0,220.0,7248.764415156507
Bannerghatta Road,6,1200.0,6.0,160.0,13333.333333333334
Akshaya Nagar,3,1662.0,3.0,90.0,5415.162454873646
Yelahanka,3,1556.0,3.0,86.0,5526.9922879177375
Jigani,2,918.0,2.0,50.0,5446.623093681917
Sarjapur  Road,3,1455.0,2.0,98.0,6735.395189003437
other,2,1205.0,2.0,70.0,5809.128630705394
BEML Layout,2,1194.0,2.0,65.0,5443.886097152429
Laggere,2,1200.0,2.0,75.0,6250.0
Bannerghatta Road,3,1100.0,2.0,52.0,4727.272727272727
Sarjapur  Road,3,1405.0,3.0,48.87,3478.291814946619
Subramanyapura,2,929.0,2.0,56.0,6027.9870828848225
Frazer Town,4,3436.0,5.0,341.0,9924.330616996507
7th Phase JP Nagar,2,1035.0,2.0,39.33,3800.0
8th Phase JP Nagar,4,2100.0,4.0,92.0,4380.952380952381
Channasandra,2,1065.0,2.0,40.47,3800.0
Bannerghatta Road,3,1532.5,3.0,84.29,5500.163132137031
Kengeri,6,1500.0,6.0,150.0,10000.0
other,5,1200.0,5.0,99.0,8250.0
Hormavu,2,1093.0,2.0,32.78,2999.085086916743
Anandapura,2,1250.0,2.0,45.0,3600.0
Marathahalli,3,1680.0,3.0,105.0,6250.0
Nagarbhavi,2,1146.0,2.0,50.0,4363.001745200698
other,2,1250.0,2.0,58.0,4640.0
Ramagondanahalli,3,1451.0,3.0,60.44,4165.40317022743
other,3,1424.0,2.0,55.0,3862.3595505617977
Gottigere,3,1435.0,2.0,62.0,4320.557491289199
Devanahalli,1,658.0,1.0,26.91,4089.665653495441
Bommanahalli,3,1300.0,3.0,45.0,3461.5384615384614
Whitefield,2,1242.0,2.0,65.0,5233.494363929147
Marathahalli,3,1910.0,3.0,119.0,6230.366492146597
Yelahanka,3,1610.0,4.0,85.0,5279.503105590062
Hulimavu,2,1127.0,2.0,65.0,5767.524401064774
Yelahanka,3,1075.0,2.0,42.0,3906.9767441860463
Mysore Road,2,1155.0,2.0,51.0,4415.584415584415
other,5,1280.0,3.0,250.0,19531.25
other,3,1250.0,3.0,55.0,4400.0
other,3,2200.0,4.0,160.0,7272.727272727273
Billekahalli,3,2400.0,3.0,150.0,6250.0
Chandapura,2,876.0,2.0,29.5,3367.5799086757993
Nagarbhavi,3,1850.0,2.0,89.0,4810.810810810811
Kadugodi,2,1314.0,2.0,83.0,6316.590563165905
Rachenahalli,1,690.0,1.0,39.8,5768.115942028985
other,2,1230.0,2.0,55.0,4471.544715447155
Bommasandra,2,920.0,2.0,37.2,4043.478260869566
Sarjapur  Road,3,1850.0,3.0,140.0,7567.5675675675675
Electronic City,2,1073.0,2.0,60.0,5591.798695246971
other,3,1540.0,3.0,76.0,4935.064935064935
Kanakpura Road,3,1550.0,3.0,63.5,4096.774193548387
Kalyan nagar,2,1198.0,2.0,65.0,5425.709515859767
HBR Layout,3,1656.0,3.0,90.0,5434.782608695652
other,3,1900.0,3.0,155.0,8157.894736842105
Ramagondanahalli,3,1910.0,3.0,142.0,7434.55497382199
Mysore Road,2,1003.0,2.0,43.0,4287.138584247258
other,2,,2.0,48.0,
Whitefield,3,1495.0,2.0,67.0,4481.605351170569
Thanisandra,3,2172.0,3.0,76.02,3500.0
Sarakki Nagar,4,2400.0,4.0,358.0,14916.666666666666
other,2,1200.0,1.0,95.0,7916.666666666667
Whitefield,3,1548.0,3.0,65.0,4198.966408268734
other,7,5400.0,5.0,972.0,18000.0
Whitefield,4,2856.0,5.0,154.5,5409.663865546218
Hosur Road,3,1689.0,3.0,103.0,6098.283007696862
Electronic City Phase II,2,1031.0,2.0,53.0,5140.640155189137
Bhoganhalli,4,2119.0,4.0,111.0,5238.319962246343
Whitefield,2,1200.0,2.0,46.13,3844.1666666666665
other,2,1060.0,2.0,37.0,3490.566037735849
other,2,1100.0,2.0,61.0,5545.454545454545
other,4,1350.0,4.0,225.0,16666.666666666668
other,5,1050.0,4.0,80.0,7619.047619047619
Hennur Road,3,1250.0,2.0,77.88,6230.4
other,2,1100.0,2.0,110.0,10000.0
Whitefield,2,1200.0,2.0,46.13,3844.1666666666665
Seegehalli,3,1420.0,2.0,46.0,3239.43661971831
Electronic City,3,1500.0,2.0,78.0,5200.0
other,3,1942.0,3.0,155.0,7981.462409886714
Haralur Road,3,1985.0,3.0,130.0,6549.11838790932
Sarjapur  Road,1,950.0,1.0,39.9,4200.0
other,3,1200.0,4.0,80.0,6666.666666666667
Green Glen Layout,3,1752.0,3.0,105.0,5993.1506849315065
Abbigere,4,1200.0,3.0,120.0,10000.0
Mahalakshmi Layout,5,1200.0,5.0,200.0,16666.666666666668
Old Madras Road,3,1480.0,2.0,84.0,5675.675675675676
other,3,600.0,4.0,81.0,13500.0
Sarjapur  Road,3,1826.0,3.0,130.0,7119.386637458927
8th Phase JP Nagar,2,1035.0,2.0,39.33,3800.0
Sarjapur  Road,4,2600.0,4.0,98.0,3769.230769230769
Kasavanhalli,3,1667.0,3.0,92.0,5518.896220755849
Thanisandra,2,934.0,2.0,55.0,5888.650963597431
JP Nagar,3,,3.0,69.34,
Mahadevpura,3,1620.0,2.0,76.0,4691.358024691358
Electronic City,2,1070.0,2.0,47.0,4392.523364485981
Hosur Road,5,3600.0,5.0,180.0,5000.0
Uttarahalli,3,1280.0,2.0,60.0,4687.5
other,2,1400.0,2.0,60.0,4285.714285714285
Vishveshwarya Layout,7,1200.0,8.0,180.0,15000.0
other,2,1330.0,2.0,64.0,4812.0300751879695
Balagere,2,1012.0,2.0,54.59,5394.268774703557
Electronic City Phase II,3,1611.0,2.0,48.33,3000.0
Whitefield,3,1405.0,3.0,58.0,4128.113879003558
other,3,1515.0,3.0,90.0,5940.59405940594
Thigalarapalya,3,1830.0,4.0,150.0,8196.72131147541
Kaggadasapura,3,1710.0,3.0,60.0,3508.7719298245615
BTM Layout,2,935.0,2.0,51.5,5508.0213903743315
Jakkur,3,2197.0,3.0,136.0,6190.259444697314
TC Palaya,4,600.0,4.0,65.0,10833.333333333334
Yeshwanthpur,3,1678.0,3.0,92.13,5490.464839094159
Brookefield,3,1410.0,2.0,80.0,5673.758865248227
Jakkur,2,1125.0,2.0,65.0,5777.777777777777
Magadi Road,3,1191.0,2.0,55.38,4649.8740554156175
Thubarahalli,2,1200.0,2.0,79.0,6583.333333333333
CV Raman Nagar,3,1525.0,2.0,67.0,4393.44262295082
other,3,1464.0,3.0,56.0,3825.136612021858
Seegehalli,2,920.0,2.0,27.0,2934.782608695652
Yelahanka,1,651.0,1.0,17.5,2688.1720430107525
Chikkabanavar,2,600.0,1.0,25.0,4166.666666666667
Chandapura,1,645.0,1.0,16.45,2550.3875968992247
Thanisandra,2,1185.0,2.0,44.0,3713.0801687763715
Electronics City Phase 1,2,1190.0,2.0,68.0,5714.285714285715
other,2,,2.0,200.0,
Whitefield,4,2856.0,5.0,158.5,5549.7198879551825
Whitefield,2,1355.0,2.0,73.0,5387.453874538745
KR Puram,2,1200.0,1.0,65.0,5416.666666666667
Kundalahalli,4,7000.0,4.0,550.0,7857.142857142857
Ramamurthy Nagar,6,1200.0,4.0,110.0,9166.666666666666
Yelahanka New Town,1,500.0,2.0,24.0,4800.0
Bommasandra Industrial Area,3,1250.0,3.0,50.0,4000.0
Uttarahalli,3,1480.0,2.0,58.0,3918.9189189189187
Ambalipura,4,3300.0,4.0,329.0,9969.69696969697
other,2,1206.0,2.0,53.0,4394.69320066335
Rajaji Nagar,2,1357.0,2.0,130.0,9579.955784819454
Hosakerehalli,2,925.0,2.0,46.5,5027.027027027027
8th Phase JP Nagar,2,909.0,2.0,40.9,4499.4499449945
Seegehalli,3,3000.0,5.0,335.0,11166.666666666666
Brookefield,2,1100.0,2.0,55.0,5000.0
Malleshwaram,4,3000.0,5.0,815.0,27166.666666666668
Vidyaranyapura,2,1100.0,2.0,54.0,4909.090909090909
Subramanyapura,2,975.0,2.0,65.0,6666.666666666667
Raja Rajeshwari Nagar,2,1306.0,2.0,44.17,3382.08269525268
other,4,1200.0,4.0,95.0,7916.666666666667
Kalena Agrahara,1,610.0,1.0,39.0,6393.44262295082
Yelahanka,3,1484.0,2.0,56.4,3800.5390835579515
Ramamurthy Nagar,2,1125.0,2.0,47.0,4177.777777777777
Bhoganhalli,2,1447.0,2.0,75.97,5250.172771250864
Whitefield,4,2882.0,5.0,158.0,5482.303955586398
Vidyaranyapura,4,750.0,4.0,88.0,11733.333333333334
Kundalahalli,3,2075.0,3.0,115.0,5542.168674698795
other,2,1250.0,2.0,58.0,4640.0
Horamavu Banaswadi,2,1272.0,2.0,51.5,4048.7421383647797
Banashankari Stage II,4,1050.0,3.0,125.0,11904.761904761905
other,2,625.0,2.0,24.0,3840.0
1st Phase JP Nagar,1,840.0,2.0,50.0,5952.380952380952
Hennur Road,4,2502.0,4.0,180.0,7194.244604316546
Rayasandra,1,583.0,1.0,26.9,4614.065180102916
other,2,900.0,2.0,27.0,3000.0
Sarjapur  Road,2,1115.0,2.0,50.0,4484.304932735426
other,2,1464.0,2.0,56.0,3825.136612021858
Kanakapura,3,2200.0,3.0,121.0,5500.0
Whitefield,1,750.0,1.0,51.0,6800.0
Marathahalli,3,1600.0,3.0,58.0,3625.0
Chikkalasandra,3,1365.0,2.0,49.0,3589.74358974359
other,3,1300.0,3.0,64.0,4923.076923076923
other,1,1200.0,1.0,69.0,5750.0
Hormavu,2,1260.0,2.0,35.0,2777.777777777778
Electronics City Phase 1,2,1190.0,2.0,33.92,2850.4201680672268
Hosakerehalli,3,2480.0,4.0,260.0,10483.870967741936
Vishwapriya Layout,3,1250.0,3.0,38.0,3040.0
Kaggadasapura,3,1500.0,3.0,75.0,5000.0
Banashankari Stage V,3,1510.0,3.0,47.57,3150.3311258278145
7th Phase JP Nagar,2,1187.0,2.0,59.0,4970.513900589722
Kundalahalli,2,1120.0,2.0,53.76,4800.0
Whitefield,2,1115.0,2.0,34.555,3099.103139013453
other,3,1717.0,3.0,99.0,5765.87070471753
other,3,2099.0,3.0,95.0,4525.964745116722
Kasturi Nagar,2,1100.0,2.0,58.0,5272.727272727273
other,1,1200.0,1.0,48.0,4000.0
Bannerghatta Road,3,1465.0,2.0,45.87,3131.0580204778157
Kothanur,1,1500.0,1.0,75.0,5000.0
other,5,4050.0,4.0,600.0,14814.814814814816
Haralur Road,3,1255.0,2.0,90.0,7171.314741035857
5th Phase JP Nagar,2,1220.0,2.0,88.0,7213.11475409836
Electronic City Phase II,2,1065.0,2.0,30.88,2899.5305164319248
Sultan Palaya,3,1765.0,3.0,80.0,4532.57790368272
Bellandur,2,1281.0,2.0,87.0,6791.569086651054
Electronic City,2,1210.0,2.0,25.0,2066.115702479339
Kaggadasapura,2,1215.0,2.0,43.0,3539.0946502057614
Ananth Nagar,4,1200.0,3.0,87.0,7250.0
Mysore Road,2,1237.0,2.0,73.0,5901.3742926434925
Lakshminarayana Pura,2,1300.0,2.0,70.0,5384.615384615385
Whitefield,2,1105.0,2.0,39.99,3619.004524886878
Chandapura,3,1505.0,2.0,42.0,2790.6976744186045
Hebbal Kempapura,4,3900.0,5.0,310.0,7948.717948717948
Banashankari,2,1186.0,2.0,65.0,5480.607082630691
other,4,900.0,3.0,51.0,5666.666666666667
Kengeri,2,750.0,2.0,35.5,4733.333333333333
Varthur,2,1083.0,2.0,28.0,2585.410895660203
other,3,1430.0,2.0,78.65,5500.000000000001
Thanisandra,2,1056.0,2.0,68.0,6439.393939393939
other,3,2108.0,3.0,85.0,4032.2580645161293
Banashankari,3,1650.0,3.0,101.0,6121.212121212121
Electronic City Phase II,3,1220.0,3.0,36.6,3000.0
Rayasandra,2,1198.0,2.0,54.0,4507.512520868114
other,2,1190.0,2.0,70.0,5882.35294117647
other,2,900.0,2.0,41.0,4555.555555555556
other,4,2690.0,4.0,185.0,6877.323420074349
Kanakapura,2,1340.0,2.0,65.0,4850.746268656716
Bommenahalli,4,2940.0,3.0,2250.0,76530.61224489796
Giri Nagar,6,2400.0,6.0,400.0,16666.666666666668
Yelahanka,2,1260.0,2.0,59.2,4698.412698412699
Talaghattapura,3,2254.0,3.0,153.0,6787.93256433008
Old Madras Road,3,2990.0,5.0,210.0,7023.411371237458
other,4,1800.0,5.0,250.0,13888.888888888889
JP Nagar,2,820.0,2.0,45.0,5487.804878048781
Electronic City,2,1296.0,2.0,65.0,5015.432098765432
Uttarahalli,2,1190.0,2.0,53.55,4500.0
Whitefield,2,1173.0,2.0,77.0,6564.364876385337
Sarjapura - Attibele Road,3,1800.0,3.0,90.0,5000.0
Yelahanka,2,1102.0,2.0,52.0,4718.693284936479
Sarjapur,2,913.0,2.0,36.0,3943.0449069003284
Hormavu,3,1176.0,2.0,35.27,2999.149659863946
Prithvi Layout,3,1620.0,3.0,65.0,4012.3456790123455
Billekahalli,3,2968.0,3.0,225.0,7580.8625336927225
Yelahanka,2,1519.0,2.0,65.0,4279.131007241606
Hosur Road,2,1345.0,2.0,106.0,7881.0408921933085
other,3,1594.0,3.0,99.0,6210.790464240903
other,2,1250.0,2.0,68.0,5440.0
Haralur Road,2,1056.0,2.0,60.0,5681.818181818182
Whitefield,3,1200.0,3.0,68.4,5700.000000000001
other,2,1290.0,1.0,77.5,6007.751937984496
other,2,1150.0,2.0,48.0,4173.913043478261
other,2,1464.0,2.0,145.0,9904.371584699453
Anekal,4,1200.0,2.0,36.0,3000.0
Gollarapalya Hosahalli,2,861.0,2.0,36.5,4239.256678281068
Kundalahalli,2,1047.0,2.0,82.62,7891.117478510028
other,2,1200.0,2.0,75.0,6250.0
other,10,1200.0,10.0,190.0,15833.333333333334
other,2,1065.0,2.0,45.0,4225.352112676056
Rajaji Nagar,3,2300.0,3.0,369.0,16043.478260869566
Ramamurthy Nagar,2,1000.0,2.0,62.0,6200.0
Lingadheeranahalli,3,1682.0,3.0,113.0,6718.192627824019
Harlur,3,1756.0,3.0,131.0,7460.136674259681
other,5,4000.0,4.0,1000.0,25000.0
other,4,1050.0,4.0,90.0,8571.42857142857
Vittasandra,2,1238.0,2.0,67.32,5437.802907915992
Dasanapura,2,814.0,2.0,42.0,5159.7051597051595
Dodda Nekkundi,2,1145.0,2.0,46.5,4061.1353711790393
Varthur,2,965.0,2.0,34.0,3523.316062176166
other,2,750.0,2.0,36.0,4800.0
Banashankari,3,1300.0,2.0,55.0,4230.7692307692305
1st Phase JP Nagar,3,1590.0,3.0,131.0,8238.993710691824
Begur Road,1,644.0,1.0,40.0,6211.180124223602
Whitefield,2,982.0,2.0,37.0,3767.8207739307536
Indira Nagar,2,1260.0,2.0,100.0,7936.507936507936
Rayasandra,3,1555.0,3.0,75.17,4834.083601286174
other,4,2500.0,4.0,450.0,18000.0
Kaggadasapura,2,1225.0,2.0,48.0,3918.3673469387754
Electronics City Phase 1,2,1085.0,2.0,46.0,4239.6313364055295
Rajaji Nagar,3,1640.0,3.0,220.0,13414.634146341463
Thanisandra,3,1595.0,3.0,110.0,6896.551724137931
Raja Rajeshwari Nagar,2,1196.0,2.0,40.44,3381.2709030100336
Yelahanka,3,1859.0,3.0,108.0,5809.575040344271
9th Phase JP Nagar,2,1079.0,2.0,60.0,5560.704355885079
Shivaji Nagar,2,550.0,1.0,27.0,4909.090909090909
Whitefield,2,1118.0,2.0,42.0,3756.7084078711987
CV Raman Nagar,2,1198.0,2.0,60.0,5008.347245409015
Thigalarapalya,3,1830.0,4.0,135.0,7377.049180327869
Banashankari Stage VI,2,1160.0,2.0,59.0,5086.206896551724
other,3,1485.0,2.0,156.0,10505.050505050505
other,3,2070.0,3.0,135.0,6521.739130434783
Basaveshwara Nagar,6,750.0,4.0,150.0,20000.0
Kannamangala,2,957.0,2.0,52.5,5485.8934169279
Basaveshwara Nagar,5,2400.0,4.0,310.0,12916.666666666666
Bannerghatta Road,2,1268.0,2.0,69.0,5441.640378548896
Bannerghatta Road,3,1450.0,2.0,87.0,6000.0
other,3,1600.0,2.0,75.0,4687.5
Uttarahalli,3,1330.0,2.0,57.0,4285.714285714285
Jakkur,3,1355.0,2.0,65.0,4797.047970479704
Horamavu Banaswadi,2,1272.0,2.0,51.5,4048.7421383647797
other,2,1100.0,2.0,38.49,3499.090909090909
Sarjapur  Road,3,1220.0,3.0,58.0,4754.098360655737
Chikkalasandra,2,1075.0,2.0,46.76,4349.767441860465
other,2,800.0,2.0,55.0,6875.0
Vasanthapura,2,995.0,2.0,34.82,3499.497487437186
other,2,900.0,1.0,44.0,4888.888888888889
Haralur Road,2,1140.0,2.0,42.0,3684.2105263157896
other,3,1480.0,2.0,125.0,8445.945945945947
Padmanabhanagar,3,1710.0,2.0,90.63,5300.0
Talaghattapura,3,2106.0,3.0,148.0,7027.540360873694
Yeshwanthpur,9,2400.0,6.0,270.0,11250.0
other,3,3800.0,2.0,130.0,3421.0526315789475
other,3,800.0,3.0,120.0,15000.0
Marathahalli,2,1602.0,2.0,104.0,6491.8851435705365
Sarjapur  Road,3,1660.0,2.0,116.0,6987.951807228916
Electronic City Phase II,3,1549.0,3.0,80.0,5164.622336991608
Marathahalli,1,700.0,1.0,38.0,5428.571428571428
Balagere,2,1012.0,2.0,64.0,6324.110671936759
Marathahalli,3,1469.0,3.0,89.0,6058.543226684819
Whitefield,2,1216.0,2.0,69.0,5674.3421052631575
Electronic City Phase II,2,1065.0,2.0,56.13,5270.422535211268
Thanisandra,3,1411.0,3.0,93.15,6601.700921332388
Pai Layout,2,1400.0,2.0,57.5,4107.142857142857
Hoskote,3,1250.0,3.0,29.0,2320.0
Haralur Road,2,1245.0,2.0,62.0,4979.919678714859
Choodasandra,2,1115.0,2.0,50.0,4484.304932735426
Vidyaranyapura,2,1000.0,2.0,35.0,3500.0
Panathur,3,1580.0,3.0,71.89,4550.0
Subramanyapura,3,1800.0,3.0,90.0,5000.0
other,2,1500.0,2.0,130.0,8666.666666666666
Chandapura,1,645.0,1.0,16.45,2550.3875968992247
Kothannur,3,1275.0,3.0,44.0,3450.9803921568628
Kasavanhalli,3,1494.0,3.0,82.0,5488.621151271754
Bhoganhalli,3,1949.0,3.0,129.0,6618.778860954336
BTM Layout,2,1020.0,2.0,46.5,4558.823529411765
Mysore Road,2,883.0,2.0,45.0,5096.262740656852
Old Airport Road,4,3200.0,4.0,280.0,8750.0
Uttarahalli,6,1680.0,6.0,125.0,7440.476190476191
Mysore Road,12,2232.0,6.0,300.0,13440.860215053763
other,3,2010.0,3.0,125.0,6218.905472636816
Yeshwanthpur,2,1240.0,2.0,80.0,6451.612903225807
6th Phase JP Nagar,2,1213.0,2.0,63.0,5193.734542456719
Hegde Nagar,3,1835.0,3.0,88.0,4795.6403269754765
Hoskote,9,1800.0,10.0,185.0,10277.777777777777
Bannerghatta Road,4,2932.0,5.0,195.0,6650.75034106412
Whitefield,4,3425.0,5.0,250.0,7299.270072992701
Gottigere,2,945.0,2.0,45.0,4761.9047619047615
other,3,1504.0,2.0,100.0,6648.936170212766
Lakshminarayana Pura,3,1569.0,3.0,150.0,9560.229445506691
Harlur,3,1755.0,3.0,130.0,7407.407407407408
Vijayanagar,3,1760.0,3.0,140.0,7954.545454545455
Hoodi,2,1240.0,2.0,43.94,3543.548387096774
Electronics City Phase 1,3,1450.0,3.0,72.54,5002.758620689656
5th Phase JP Nagar,2,1000.0,2.0,48.0,4800.0
Shivaji Nagar,1,3820.0,1.0,306.0,8010.471204188481
Thyagaraja Nagar,5,2000.0,4.0,145.0,7250.0
Choodasandra,2,1215.0,2.0,59.0,4855.9670781893
other,5,,6.0,550.0,
Yelachenahalli,3,1330.0,3.0,73.5,5526.315789473684
Raja Rajeshwari Nagar,2,1178.0,2.0,75.0,6366.723259762309
Hulimavu,4,1500.0,4.0,192.0,12800.0
other,2,2040.0,2.0,59.0,2892.156862745098
Bellandur,3,2000.0,3.0,85.0,4250.0
other,3,1602.0,2.0,165.0,10299.625468164793
other,4,1200.0,4.0,130.0,10833.333333333334
Parappana Agrahara,2,1194.0,2.0,46.0,3852.5963149078725
other,3,1800.0,3.0,220.0,12222.222222222223
Dasarahalli,3,2400.0,2.0,152.0,6333.333333333333
Sarjapur  Road,3,1700.0,3.0,108.0,6352.941176470588
Jigani,3,1200.0,3.0,65.0,5416.666666666667
other,3,1500.0,3.0,72.0,4800.0
Karuna Nagar,3,1240.0,3.0,165.0,13306.451612903225
Whitefield,3,3000.0,3.0,400.0,13333.333333333334
Kanakpura Road,3,1737.0,3.0,85.0,4893.494530800231
TC Palaya,2,900.0,2.0,55.0,6111.111111111111
other,3,1280.0,2.0,48.0,3750.0
CV Raman Nagar,2,1560.0,2.0,85.0,5448.717948717948
Kambipura,2,883.0,2.0,44.0,4983.012457531144
Kengeri Satellite Town,2,750.0,2.0,33.0,4400.0
Brookefield,4,2400.0,3.0,140.0,5833.333333333333
other,2,900.0,2.0,45.0,5000.0
Hormavu,2,1030.0,2.0,49.35,4791.26213592233
7th Phase JP Nagar,3,1850.0,3.0,155.0,8378.378378378378
Hennur Road,3,1831.0,3.0,110.0,6007.646095030038
other,2,1095.0,2.0,38.33,3500.4566210045664
Electronic City Phase II,3,1320.0,2.0,38.13,2888.636363636364
Sarjapur  Road,3,1272.5,2.0,40.72,3200.0
7th Phase JP Nagar,2,1000.0,2.0,61.0,6100.0
Budigere,3,1820.0,3.0,85.4,4692.307692307692
Bisuvanahalli,3,1075.0,2.0,41.0,3813.953488372093
TC Palaya,3,1500.0,3.0,83.0,5533.333333333333
Electronics City Phase 1,1,360.0,1.0,16.9,4694.444444444443
Kadugodi,1,925.0,1.0,40.7,4400.000000000001
Electronic City,2,1140.0,2.0,70.93,6221.9298245614045
other,2,1145.0,2.0,58.4,5100.436681222707
other,3,1862.0,3.0,120.0,6444.68313641246
Devarachikkanahalli,2,947.0,2.0,43.0,4540.654699049631
other,4,,4.0,211.0,
other,3,700.0,3.0,195.0,27857.14285714286
Kalena Agrahara,2,1120.0,2.0,40.0,3571.4285714285716
other,3,2700.0,3.0,200.0,7407.407407407408
Kaggadasapura,3,1805.0,2.0,75.0,4155.124653739612
Basavangudi,2,1100.0,2.0,93.0,8454.545454545454
Bommenahalli,4,1355.0,3.0,135.0,9963.09963099631
other,3,1677.0,3.0,98.0,5843.768634466309
other,8,2500.0,8.0,95.0,3800.0
Uttarahalli,3,1560.0,3.0,74.0,4743.589743589743
Arekere,3,2060.0,3.0,150.0,7281.553398058252
Koramangala,3,1716.0,2.0,115.0,6701.631701631702
Harlur,3,1864.0,3.0,140.0,7510.729613733905
Electronics City Phase 1,1,638.0,1.0,32.0,5015.673981191223
other,9,1200.0,7.0,95.0,7916.666666666667
Kodigehalli,8,1150.0,9.0,170.0,14782.608695652174
Chandapura,2,937.0,2.0,30.0,3201.7075773745996
other,3,1490.0,2.0,115.0,7718.120805369127
